instance,output,time
ai-instances/divisibility/divisibility_03.smt2,sat,0.12
ai-instances/divisibility/divisibility_18.smt2,sat,22.05
ai-instances/divisibility/divisibility_09.smt2,sat,0.16
ai-instances/divisibility/divisibility_16.smt2,timeout,600
ai-instances/divisibility/divisibility_07.smt2,sat,0.05
ai-instances/divisibility/divisibility_25.smt2,timeout,600
ai-instances/divisibility/divisibility_19.smt2,timeout,600
ai-instances/divisibility/divisibility_12.smt2,unknown,363.20
ai-instances/divisibility/divisibility_20.smt2,sat,315.15
ai-instances/divisibility/divisibility_01.smt2,sat,0.12
ai-instances/divisibility/divisibility_28.smt2,timeout,600
ai-instances/divisibility/divisibility_10.smt2,sat,0.13
ai-instances/divisibility/divisibility_29.smt2,timeout,600
ai-instances/divisibility/divisibility_13.smt2,unknown,573.99
ai-instances/divisibility/divisibility_02.smt2,sat,2.27
ai-instances/divisibility/divisibility_04.smt2,sat,41.03
ai-instances/divisibility/divisibility_27.smt2,timeout,600
ai-instances/divisibility/divisibility_06.smt2,sat,4.39
ai-instances/divisibility/divisibility_23.smt2,timeout,600
ai-instances/divisibility/divisibility_26.smt2,unknown,228.77
ai-instances/divisibility/divisibility_05.smt2,sat,0.09
ai-instances/divisibility/divisibility_22.smt2,timeout,600
ai-instances/divisibility/divisibility_14.smt2,timeout,600
ai-instances/divisibility/divisibility_24.smt2,unknown,572.75
ai-instances/divisibility/divisibility_17.smt2,timeout,600
ai-instances/divisibility/divisibility_11.smt2,unknown,107.20
ai-instances/divisibility/divisibility_15.smt2,unknown,214.52
ai-instances/divisibility/divisibility_30.smt2,unknown,186.41
ai-instances/divisibility/divisibility_08.smt2,sat,272.25
ai-instances/divisibility/divisibility_21.smt2,timeout,600
