instance,output,time
ai-instances/divisibility/divisibility_16.smt2,timeout,600
ai-instances/divisibility/divisibility_22.smt2,timeout,600
ai-instances/divisibility/divisibility_27.smt2,timeout,600
ai-instances/divisibility/divisibility_08.smt2,sat,294.57
ai-instances/divisibility/divisibility_23.smt2,timeout,600
ai-instances/divisibility/divisibility_07.smt2,sat,0.06
ai-instances/divisibility/divisibility_11.smt2,unknown,119.39
ai-instances/divisibility/divisibility_04.smt2,sat,40.44
ai-instances/divisibility/divisibility_05.smt2,sat,0.10
ai-instances/divisibility/divisibility_25.smt2,timeout,600
ai-instances/divisibility/divisibility_06.smt2,sat,15.38
ai-instances/divisibility/divisibility_17.smt2,timeout,600
ai-instances/divisibility/divisibility_24.smt2,unknown,360.22
ai-instances/divisibility/divisibility_03.smt2,sat,0.47
ai-instances/divisibility/divisibility_12.smt2,unknown,355.47
ai-instances/divisibility/divisibility_09.smt2,sat,1.53
ai-instances/divisibility/divisibility_21.smt2,timeout,600
ai-instances/divisibility/divisibility_14.smt2,timeout,600
ai-instances/divisibility/divisibility_02.smt2,sat,4.58
ai-instances/divisibility/divisibility_15.smt2,unknown,263.08
ai-instances/divisibility/divisibility_18.smt2,sat,21.77
ai-instances/divisibility/divisibility_29.smt2,unknown,310.25
ai-instances/divisibility/divisibility_10.smt2,sat,0.20
ai-instances/divisibility/divisibility_26.smt2,unknown,136.83
ai-instances/divisibility/divisibility_01.smt2,sat,0.30
ai-instances/divisibility/divisibility_28.smt2,timeout,600
ai-instances/divisibility/divisibility_30.smt2,unknown,162.10
ai-instances/divisibility/divisibility_13.smt2,unknown,223.50
ai-instances/divisibility/divisibility_19.smt2,timeout,600
ai-instances/divisibility/divisibility_20.smt2,sat,198.18
