instance,output,time
ai-instances/random-mixed/mixed_21.smt2,unsat,2.89
ai-instances/random-mixed/mixed_02.smt2,sat,127.04
ai-instances/random-mixed/mixed_19.smt2,unknown,324.27
ai-instances/random-mixed/mixed_16.smt2,sat,39.51
ai-instances/random-mixed/mixed_14.smt2,unsat,11.86
ai-instances/random-mixed/mixed_13.smt2,sat,73.70
ai-instances/random-mixed/mixed_20.smt2,sat,30.37
ai-instances/random-mixed/mixed_22.smt2,sat,7.24
ai-instances/random-mixed/mixed_01.smt2,sat,149.61
ai-instances/random-mixed/mixed_17.smt2,sat,401.86
ai-instances/random-mixed/mixed_18.smt2,unsat,0.57
ai-instances/random-mixed/mixed_06.smt2,sat,333.09
ai-instances/random-mixed/mixed_08.smt2,unsat,1.18
ai-instances/random-mixed/mixed_09.smt2,unsat,0.57
ai-instances/random-mixed/mixed_03.smt2,unknown,258.24
ai-instances/random-mixed/mixed_30.smt2,unsat,9.38
ai-instances/random-mixed/mixed_27.smt2,sat,53.78
ai-instances/random-mixed/mixed_12.smt2,sat,7.46
ai-instances/random-mixed/mixed_10.smt2,timeout,600
ai-instances/random-mixed/mixed_15.smt2,timeout,600
ai-instances/random-mixed/mixed_26.smt2,unsat,92.83
ai-instances/random-mixed/mixed_04.smt2,sat,4.98
ai-instances/random-mixed/mixed_28.smt2,sat,0.22
ai-instances/random-mixed/mixed_11.smt2,unknown,309.07
ai-instances/random-mixed/mixed_24.smt2,unsat,198.84
ai-instances/random-mixed/mixed_23.smt2,unsat,71.04
ai-instances/random-mixed/mixed_07.smt2,timeout,600
ai-instances/random-mixed/mixed_05.smt2,sat,80.44
ai-instances/random-mixed/mixed_25.smt2,unsat,9.60
ai-instances/random-mixed/mixed_29.smt2,unsat,0.52
