instance,output,time
ai-instances/random-mixed/mixed_02.smt2,sat,0.67
ai-instances/random-mixed/mixed_11.smt2,sat,1.12
ai-instances/random-mixed/mixed_19.smt2,sat,69.96
ai-instances/random-mixed/mixed_06.smt2,sat,2.39
ai-instances/random-mixed/mixed_28.smt2,sat,0.05
ai-instances/random-mixed/mixed_05.smt2,sat,4.36
ai-instances/random-mixed/mixed_22.smt2,sat,0.19
ai-instances/random-mixed/mixed_21.smt2,sat,21.72
ai-instances/random-mixed/mixed_14.smt2,unsat,196.38
ai-instances/random-mixed/mixed_20.smt2,sat,1.08
ai-instances/random-mixed/mixed_23.smt2,unsat,38.27
ai-instances/random-mixed/mixed_12.smt2,sat,0.39
ai-instances/random-mixed/mixed_26.smt2,unsat,62.52
ai-instances/random-mixed/mixed_10.smt2,sat,1.78
ai-instances/random-mixed/mixed_01.smt2,sat,2.21
ai-instances/random-mixed/mixed_27.smt2,sat,0.86
ai-instances/random-mixed/mixed_25.smt2,unsat,31.73
ai-instances/random-mixed/mixed_29.smt2,sat,9.33
ai-instances/random-mixed/mixed_09.smt2,sat,8.21
ai-instances/random-mixed/mixed_13.smt2,sat,0.86
ai-instances/random-mixed/mixed_07.smt2,sat,1.76
ai-instances/random-mixed/mixed_17.smt2,sat,0.22
ai-instances/random-mixed/mixed_08.smt2,sat,0.14
ai-instances/random-mixed/mixed_30.smt2,unsat,27.93
ai-instances/random-mixed/mixed_03.smt2,sat,24.06
ai-instances/random-mixed/mixed_04.smt2,sat,0.22
ai-instances/random-mixed/mixed_24.smt2,sat,3.31
ai-instances/random-mixed/mixed_16.smt2,sat,0.32
ai-instances/random-mixed/mixed_15.smt2,sat,0.61
ai-instances/random-mixed/mixed_18.smt2,sat,0.62
