instance,output,time
ai-instances/random-mixed/mixed_12.smt2,sat,8.37
ai-instances/random-mixed/mixed_25.smt2,unsat,0.36
ai-instances/random-mixed/mixed_28.smt2,sat,0.27
ai-instances/random-mixed/mixed_13.smt2,sat,26.94
ai-instances/random-mixed/mixed_24.smt2,unsat,39.95
ai-instances/random-mixed/mixed_09.smt2,unsat,0.88
ai-instances/random-mixed/mixed_16.smt2,sat,6.39
ai-instances/random-mixed/mixed_04.smt2,sat,5.63
ai-instances/random-mixed/mixed_18.smt2,unsat,0.36
ai-instances/random-mixed/mixed_08.smt2,unsat,1.33
ai-instances/random-mixed/mixed_26.smt2,unsat,2.30
ai-instances/random-mixed/mixed_23.smt2,unsat,1.01
ai-instances/random-mixed/mixed_21.smt2,unsat,1.55
ai-instances/random-mixed/mixed_10.smt2,sat,14.44
ai-instances/random-mixed/mixed_22.smt2,sat,13.21
ai-instances/random-mixed/mixed_15.smt2,sat,42.27
ai-instances/random-mixed/mixed_01.smt2,sat,91.52
ai-instances/random-mixed/mixed_17.smt2,sat,2.86
ai-instances/random-mixed/mixed_20.smt2,sat,24.09
ai-instances/random-mixed/mixed_05.smt2,sat,120.65
ai-instances/random-mixed/mixed_07.smt2,sat,40.83
ai-instances/random-mixed/mixed_19.smt2,unsat,4.65
ai-instances/random-mixed/mixed_30.smt2,unsat,1.19
ai-instances/random-mixed/mixed_14.smt2,unsat,3.77
ai-instances/random-mixed/mixed_02.smt2,sat,30.58
ai-instances/random-mixed/mixed_29.smt2,unsat,0.41
ai-instances/random-mixed/mixed_11.smt2,sat,34.99
ai-instances/random-mixed/mixed_27.smt2,sat,44.95
ai-instances/random-mixed/mixed_06.smt2,sat,108.46
ai-instances/random-mixed/mixed_03.smt2,sat,438.61
