instance,output,time
ai-instances/modular/modular_15.smt2,unsat,14.27
ai-instances/modular/modular_03.smt2,sat,2.32
ai-instances/modular/modular_27.smt2,unsat,2.36
ai-instances/modular/modular_30.smt2,unsat,1.62
ai-instances/modular/modular_08.smt2,unsat,6.13
ai-instances/modular/modular_04.smt2,sat,0.48
ai-instances/modular/modular_13.smt2,unsat,7.40
ai-instances/modular/modular_26.smt2,unsat,2.43
ai-instances/modular/modular_14.smt2,unsat,4.13
ai-instances/modular/modular_24.smt2,unsat,53.85
ai-instances/modular/modular_12.smt2,unsat,1.00
ai-instances/modular/modular_07.smt2,unsat,1.74
ai-instances/modular/modular_11.smt2,unsat,6.35
ai-instances/modular/modular_01.smt2,unsat,0.21
ai-instances/modular/modular_05.smt2,sat,2.29
ai-instances/modular/modular_09.smt2,unsat,16.63
ai-instances/modular/modular_29.smt2,unsat,2.08
ai-instances/modular/modular_17.smt2,unsat,42.66
ai-instances/modular/modular_18.smt2,unsat,51.97
ai-instances/modular/modular_21.smt2,unsat,52.16
ai-instances/modular/modular_28.smt2,sat,1.77
ai-instances/modular/modular_10.smt2,unsat,4.03
ai-instances/modular/modular_23.smt2,unsat,1.86
ai-instances/modular/modular_25.smt2,sat,1.34
ai-instances/modular/modular_20.smt2,unsat,31.41
ai-instances/modular/modular_02.smt2,unsat,1.52
ai-instances/modular/modular_16.smt2,unsat,28.08
ai-instances/modular/modular_22.smt2,unsat,101.29
ai-instances/modular/modular_19.smt2,unsat,53.10
ai-instances/modular/modular_06.smt2,sat,2.40
