instance,output,time
ai-instances/random/random_29.smt2,sat,0.05
ai-instances/random/random_27.smt2,sat,0.03
ai-instances/random/random_08.smt2,sat,0.20
ai-instances/random/random_09.smt2,sat,16.29
ai-instances/random/random_15.smt2,sat,0.05
ai-instances/random/random_02.smt2,sat,0.03
ai-instances/random/random_25.smt2,unsat,43.83
ai-instances/random/random_23.smt2,sat,0.05
ai-instances/random/random_28.smt2,sat,0.03
ai-instances/random/random_12.smt2,sat,0.17
ai-instances/random/random_17.smt2,unsat,48.39
ai-instances/random/random_22.smt2,unsat,1.06
ai-instances/random/random_14.smt2,sat,0.43
ai-instances/random/random_20.smt2,sat,0.05
ai-instances/random/random_21.smt2,timeout,600
ai-instances/random/random_18.smt2,sat,1.67
ai-instances/random/random_30.smt2,sat,0.33
ai-instances/random/random_04.smt2,sat,0.19
ai-instances/random/random_24.smt2,sat,0.03
ai-instances/random/random_16.smt2,sat,0.11
ai-instances/random/random_05.smt2,unsat,103.44
ai-instances/random/random_03.smt2,sat,3.08
ai-instances/random/random_07.smt2,sat,0.30
ai-instances/random/random_06.smt2,unsat,119.10
ai-instances/random/random_13.smt2,sat,0.54
ai-instances/random/random_01.smt2,unsat,0.07
ai-instances/random/random_19.smt2,unsat,32.57
ai-instances/random/random_26.smt2,sat,0.02
ai-instances/random/random_11.smt2,sat,0.16
ai-instances/random/random_10.smt2,sat,0.04
