instance,output,time
ai-instances/random/random_04.smt2,sat,0.38
ai-instances/random/random_21.smt2,sat,8.57
ai-instances/random/random_09.smt2,sat,17.14
ai-instances/random/random_14.smt2,sat,9.77
ai-instances/random/random_17.smt2,unsat,2.03
ai-instances/random/random_18.smt2,sat,37.62
ai-instances/random/random_05.smt2,unsat,6.61
ai-instances/random/random_20.smt2,sat,0.10
ai-instances/random/random_15.smt2,sat,1.65
ai-instances/random/random_03.smt2,sat,3.77
ai-instances/random/random_10.smt2,sat,0.07
ai-instances/random/random_25.smt2,unsat,2.02
ai-instances/random/random_23.smt2,sat,0.10
ai-instances/random/random_07.smt2,sat,0.45
ai-instances/random/random_29.smt2,sat,0.16
ai-instances/random/random_02.smt2,sat,0.07
ai-instances/random/random_24.smt2,sat,0.08
ai-instances/random/random_30.smt2,sat,0.60
ai-instances/random/random_01.smt2,unsat,0.03
ai-instances/random/random_27.smt2,sat,0.08
ai-instances/random/random_28.smt2,sat,0.07
ai-instances/random/random_11.smt2,sat,2.48
ai-instances/random/random_12.smt2,sat,4.24
ai-instances/random/random_06.smt2,unsat,5.44
ai-instances/random/random_19.smt2,unsat,1.45
ai-instances/random/random_13.smt2,sat,8.77
ai-instances/random/random_22.smt2,unsat,0.10
ai-instances/random/random_16.smt2,sat,0.16
ai-instances/random/random_08.smt2,sat,1.97
ai-instances/random/random_26.smt2,sat,0.06
