instance,output,time
ai-instances/random/random_09.smt2,sat,16.04
ai-instances/random/random_03.smt2,sat,3.37
ai-instances/random/random_01.smt2,unsat,0.37
ai-instances/random/random_19.smt2,unsat,251.50
ai-instances/random/random_15.smt2,sat,0.10
ai-instances/random/random_14.smt2,sat,1.41
ai-instances/random/random_02.smt2,sat,0.04
ai-instances/random/random_20.smt2,sat,0.04
ai-instances/random/random_13.smt2,sat,0.28
ai-instances/random/random_07.smt2,sat,0.81
ai-instances/random/random_04.smt2,sat,0.58
ai-instances/random/random_06.smt2,timeout,600
ai-instances/random/random_16.smt2,sat,0.08
ai-instances/random/random_18.smt2,sat,1.87
ai-instances/random/random_28.smt2,sat,0.05
ai-instances/random/random_24.smt2,sat,0.04
ai-instances/random/random_23.smt2,sat,0.03
ai-instances/random/random_27.smt2,sat,0.05
ai-instances/random/random_29.smt2,sat,0.13
ai-instances/random/random_12.smt2,sat,0.17
ai-instances/random/random_17.smt2,unsat,406.42
ai-instances/random/random_25.smt2,unsat,379.18
ai-instances/random/random_21.smt2,sat,2.28
ai-instances/random/random_30.smt2,sat,0.31
ai-instances/random/random_26.smt2,sat,0.03
ai-instances/random/random_11.smt2,sat,0.15
ai-instances/random/random_22.smt2,unsat,7.92
ai-instances/random/random_05.smt2,timeout,600
ai-instances/random/random_08.smt2,sat,0.24
ai-instances/random/random_10.smt2,sat,0.04
