instance,output,time
ai-instances/random/random_06.smt2,unsat,3.76
ai-instances/random/random_20.smt2,sat,0.74
ai-instances/random/random_18.smt2,sat,330.22
ai-instances/random/random_11.smt2,sat,29.66
ai-instances/random/random_15.smt2,sat,12.61
ai-instances/random/random_05.smt2,unsat,5.89
ai-instances/random/random_07.smt2,sat,133.03
ai-instances/random/random_30.smt2,sat,42.43
ai-instances/random/random_04.smt2,sat,97.79
ai-instances/random/random_19.smt2,unsat,1.15
ai-instances/random/random_10.smt2,sat,0.74
ai-instances/random/random_03.smt2,sat,529.40
ai-instances/random/random_29.smt2,sat,15.25
ai-instances/random/random_28.smt2,sat,0.23
ai-instances/random/random_21.smt2,unsat,0.44
ai-instances/random/random_13.smt2,sat,41.73
ai-instances/random/random_16.smt2,sat,17.88
ai-instances/random/random_12.smt2,sat,41.99
ai-instances/random/random_25.smt2,unsat,1.72
ai-instances/random/random_02.smt2,sat,0.48
ai-instances/random/random_27.smt2,sat,1.56
ai-instances/random/random_24.smt2,sat,0.68
ai-instances/random/random_22.smt2,unsat,0.07
ai-instances/random/random_09.smt2,timeout,600
ai-instances/random/random_01.smt2,unsat,0.03
ai-instances/random/random_14.smt2,sat,142.45
ai-instances/random/random_17.smt2,unsat,1.96
ai-instances/random/random_23.smt2,sat,0.53
ai-instances/random/random_08.smt2,sat,16.97
ai-instances/random/random_26.smt2,sat,0.28
