instance,output,time
ai-instances/random-mixed/mixed_19.smt2,timeout,600
ai-instances/random-mixed/mixed_29.smt2,sat,341.52
ai-instances/random-mixed/mixed_23.smt2,unsat,5.41
ai-instances/random-mixed/mixed_26.smt2,unsat,2.01
ai-instances/random-mixed/mixed_13.smt2,sat,305.82
ai-instances/random-mixed/mixed_10.smt2,sat,172.37
ai-instances/random-mixed/mixed_04.smt2,sat,57.44
ai-instances/random-mixed/mixed_11.smt2,timeout,600
ai-instances/random-mixed/mixed_27.smt2,sat,243.20
ai-instances/random-mixed/mixed_20.smt2,sat,416.79
ai-instances/random-mixed/mixed_15.smt2,timeout,600
ai-instances/random-mixed/mixed_30.smt2,unsat,1.02
ai-instances/random-mixed/mixed_14.smt2,unsat,12.25
ai-instances/random-mixed/mixed_07.smt2,timeout,600
ai-instances/random-mixed/mixed_02.smt2,sat,138.60
ai-instances/random-mixed/mixed_28.smt2,sat,1.97
ai-instances/random-mixed/mixed_21.smt2,timeout,600
ai-instances/random-mixed/mixed_18.smt2,unsat,0.34
ai-instances/random-mixed/mixed_06.smt2,timeout,600
ai-instances/random-mixed/mixed_22.smt2,sat,32.35
ai-instances/random-mixed/mixed_12.smt2,sat,83.09
ai-instances/random-mixed/mixed_17.smt2,sat,268.46
ai-instances/random-mixed/mixed_05.smt2,sat,152.93
ai-instances/random-mixed/mixed_25.smt2,unsat,6.71
ai-instances/random-mixed/mixed_08.smt2,unsat,1.07
ai-instances/random-mixed/mixed_03.smt2,timeout,600
ai-instances/random-mixed/mixed_16.smt2,sat,16.44
ai-instances/random-mixed/mixed_24.smt2,unsat,7.15
ai-instances/random-mixed/mixed_09.smt2,sat,470.75
ai-instances/random-mixed/mixed_01.smt2,timeout,600
