instance,output,time
ai-instances/divisibility/divisibility_06.smt2,sat,0.40
ai-instances/divisibility/divisibility_10.smt2,sat,0.08
ai-instances/divisibility/divisibility_11.smt2,sat,1.72
ai-instances/divisibility/divisibility_26.smt2,sat,20.77
ai-instances/divisibility/divisibility_07.smt2,sat,0.05
ai-instances/divisibility/divisibility_24.smt2,sat,41.32
ai-instances/divisibility/divisibility_29.smt2,sat,59.00
ai-instances/divisibility/divisibility_22.smt2,sat,324.66
ai-instances/divisibility/divisibility_09.smt2,sat,0.13
ai-instances/divisibility/divisibility_16.smt2,sat,36.31
ai-instances/divisibility/divisibility_28.smt2,sat,74.31
ai-instances/divisibility/divisibility_20.smt2,sat,245.71
ai-instances/divisibility/divisibility_15.smt2,sat,119.10
ai-instances/divisibility/divisibility_27.smt2,sat,27.49
ai-instances/divisibility/divisibility_04.smt2,sat,0.37
ai-instances/divisibility/divisibility_25.smt2,sat,268.99
ai-instances/divisibility/divisibility_21.smt2,sat,17.26
ai-instances/divisibility/divisibility_17.smt2,timeout,600
ai-instances/divisibility/divisibility_23.smt2,sat,56.03
ai-instances/divisibility/divisibility_12.smt2,sat,30.69
ai-instances/divisibility/divisibility_05.smt2,sat,0.07
ai-instances/divisibility/divisibility_30.smt2,sat,4.48
ai-instances/divisibility/divisibility_01.smt2,sat,0.07
ai-instances/divisibility/divisibility_08.smt2,sat,14.72
ai-instances/divisibility/divisibility_02.smt2,sat,0.17
ai-instances/divisibility/divisibility_13.smt2,sat,2.88
ai-instances/divisibility/divisibility_14.smt2,sat,27.08
ai-instances/divisibility/divisibility_18.smt2,sat,1.41
ai-instances/divisibility/divisibility_03.smt2,sat,0.08
ai-instances/divisibility/divisibility_19.smt2,sat,79.51
