instance,output,time
ai-instances/divisibility/divisibility_15.smt2,sat,156.03
ai-instances/divisibility/divisibility_08.smt2,sat,125.41
ai-instances/divisibility/divisibility_13.smt2,sat,1.40
ai-instances/divisibility/divisibility_11.smt2,sat,1.44
ai-instances/divisibility/divisibility_16.smt2,sat,8.88
ai-instances/divisibility/divisibility_14.smt2,sat,7.39
ai-instances/divisibility/divisibility_24.smt2,sat,50.48
ai-instances/divisibility/divisibility_22.smt2,sat,374.99
ai-instances/divisibility/divisibility_12.smt2,sat,8.43
ai-instances/divisibility/divisibility_19.smt2,sat,156.10
ai-instances/divisibility/divisibility_10.smt2,sat,0.13
ai-instances/divisibility/divisibility_02.smt2,sat,3.49
ai-instances/divisibility/divisibility_27.smt2,sat,21.69
ai-instances/divisibility/divisibility_18.smt2,sat,0.90
ai-instances/divisibility/divisibility_07.smt2,sat,0.09
ai-instances/divisibility/divisibility_06.smt2,sat,10.74
ai-instances/divisibility/divisibility_29.smt2,sat,19.43
ai-instances/divisibility/divisibility_21.smt2,sat,5.04
ai-instances/divisibility/divisibility_01.smt2,sat,0.30
ai-instances/divisibility/divisibility_05.smt2,sat,0.10
ai-instances/divisibility/divisibility_04.smt2,sat,9.84
ai-instances/divisibility/divisibility_23.smt2,sat,317.66
ai-instances/divisibility/divisibility_30.smt2,sat,1.65
ai-instances/divisibility/divisibility_03.smt2,sat,0.28
ai-instances/divisibility/divisibility_28.smt2,sat,45.06
ai-instances/divisibility/divisibility_20.smt2,sat,180.18
ai-instances/divisibility/divisibility_09.smt2,sat,1.24
ai-instances/divisibility/divisibility_26.smt2,sat,10.90
ai-instances/divisibility/divisibility_25.smt2,sat,284.57
ai-instances/divisibility/divisibility_17.smt2,sat,112.14
