instance,output,time
ai-instances/random-mixed/mixed_26.smt2,unsat,32.74
ai-instances/random-mixed/mixed_14.smt2,unsat,252.98
ai-instances/random-mixed/mixed_06.smt2,sat,7.87
ai-instances/random-mixed/mixed_19.smt2,sat,66.84
ai-instances/random-mixed/mixed_22.smt2,sat,0.17
ai-instances/random-mixed/mixed_12.smt2,sat,0.18
ai-instances/random-mixed/mixed_05.smt2,sat,6.17
ai-instances/random-mixed/mixed_29.smt2,sat,2.46
ai-instances/random-mixed/mixed_20.smt2,sat,3.89
ai-instances/random-mixed/mixed_21.smt2,sat,10.37
ai-instances/random-mixed/mixed_08.smt2,sat,1.01
ai-instances/random-mixed/mixed_25.smt2,unsat,46.55
ai-instances/random-mixed/mixed_02.smt2,sat,0.93
ai-instances/random-mixed/mixed_07.smt2,sat,2.34
ai-instances/random-mixed/mixed_30.smt2,unsat,3.25
ai-instances/random-mixed/mixed_28.smt2,sat,0.04
ai-instances/random-mixed/mixed_23.smt2,unsat,60.11
ai-instances/random-mixed/mixed_27.smt2,sat,3.51
ai-instances/random-mixed/mixed_01.smt2,sat,1.67
ai-instances/random-mixed/mixed_15.smt2,sat,0.40
ai-instances/random-mixed/mixed_17.smt2,sat,0.26
ai-instances/random-mixed/mixed_16.smt2,sat,0.28
ai-instances/random-mixed/mixed_13.smt2,sat,0.74
ai-instances/random-mixed/mixed_18.smt2,unsat,5.23
ai-instances/random-mixed/mixed_09.smt2,sat,2.84
ai-instances/random-mixed/mixed_24.smt2,unsat,60.52
ai-instances/random-mixed/mixed_04.smt2,sat,0.49
ai-instances/random-mixed/mixed_11.smt2,sat,0.29
ai-instances/random-mixed/mixed_03.smt2,sat,4.95
ai-instances/random-mixed/mixed_10.smt2,sat,0.70
