instance,output,time
ai-instances/random-mixed/mixed_14.smt2,unsat,12.34
ai-instances/random-mixed/mixed_18.smt2,unsat,0.32
ai-instances/random-mixed/mixed_09.smt2,sat,49.41
ai-instances/random-mixed/mixed_15.smt2,sat,14.35
ai-instances/random-mixed/mixed_13.smt2,sat,32.65
ai-instances/random-mixed/mixed_11.smt2,sat,1.47
ai-instances/random-mixed/mixed_22.smt2,sat,3.75
ai-instances/random-mixed/mixed_03.smt2,sat,124.04
ai-instances/random-mixed/mixed_04.smt2,sat,5.96
ai-instances/random-mixed/mixed_02.smt2,sat,13.38
ai-instances/random-mixed/mixed_25.smt2,unsat,1.85
ai-instances/random-mixed/mixed_01.smt2,sat,61.55
ai-instances/random-mixed/mixed_21.smt2,sat,159.06
ai-instances/random-mixed/mixed_23.smt2,unsat,3.37
ai-instances/random-mixed/mixed_16.smt2,sat,1.52
ai-instances/random-mixed/mixed_19.smt2,sat,544.29
ai-instances/random-mixed/mixed_08.smt2,unsat,0.85
ai-instances/random-mixed/mixed_27.smt2,sat,22.52
ai-instances/random-mixed/mixed_20.smt2,sat,41.07
ai-instances/random-mixed/mixed_17.smt2,sat,4.80
ai-instances/random-mixed/mixed_10.smt2,sat,4.81
ai-instances/random-mixed/mixed_05.smt2,sat,16.18
ai-instances/random-mixed/mixed_07.smt2,sat,35.23
ai-instances/random-mixed/mixed_30.smt2,unsat,0.80
ai-instances/random-mixed/mixed_29.smt2,sat,27.30
ai-instances/random-mixed/mixed_06.smt2,sat,215.56
ai-instances/random-mixed/mixed_12.smt2,sat,9.53
ai-instances/random-mixed/mixed_26.smt2,unsat,1.89
ai-instances/random-mixed/mixed_24.smt2,unsat,4.57
ai-instances/random-mixed/mixed_28.smt2,sat,0.20
