instance,output,time
ai-instances/random-mixed/mixed_26.smt2,unsat,55.96
ai-instances/random-mixed/mixed_07.smt2,sat,1.28
ai-instances/random-mixed/mixed_04.smt2,sat,0.23
ai-instances/random-mixed/mixed_21.smt2,sat,10.87
ai-instances/random-mixed/mixed_19.smt2,sat,10.91
ai-instances/random-mixed/mixed_27.smt2,sat,0.61
ai-instances/random-mixed/mixed_06.smt2,sat,5.76
ai-instances/random-mixed/mixed_24.smt2,unsat,110.85
ai-instances/random-mixed/mixed_15.smt2,sat,3.59
ai-instances/random-mixed/mixed_02.smt2,sat,1.62
ai-instances/random-mixed/mixed_25.smt2,unsat,37.83
ai-instances/random-mixed/mixed_09.smt2,sat,2.56
ai-instances/random-mixed/mixed_30.smt2,unsat,23.89
ai-instances/random-mixed/mixed_03.smt2,sat,9.23
ai-instances/random-mixed/mixed_10.smt2,sat,0.59
ai-instances/random-mixed/mixed_14.smt2,unsat,233.77
ai-instances/random-mixed/mixed_17.smt2,sat,0.28
ai-instances/random-mixed/mixed_18.smt2,unsat,8.93
ai-instances/random-mixed/mixed_23.smt2,unsat,50.45
ai-instances/random-mixed/mixed_20.smt2,sat,2.13
ai-instances/random-mixed/mixed_13.smt2,sat,2.45
ai-instances/random-mixed/mixed_29.smt2,sat,2.51
ai-instances/random-mixed/mixed_01.smt2,sat,2.51
ai-instances/random-mixed/mixed_16.smt2,sat,0.41
ai-instances/random-mixed/mixed_08.smt2,sat,1.20
ai-instances/random-mixed/mixed_11.smt2,sat,0.26
ai-instances/random-mixed/mixed_05.smt2,sat,5.16
ai-instances/random-mixed/mixed_22.smt2,sat,0.35
ai-instances/random-mixed/mixed_12.smt2,sat,0.19
ai-instances/random-mixed/mixed_28.smt2,sat,0.03
