instance,output,time
ai-instances/random-mixed/mixed_01.smt2,timeout,600
ai-instances/random-mixed/mixed_21.smt2,timeout,600
ai-instances/random-mixed/mixed_05.smt2,timeout,600
ai-instances/random-mixed/mixed_27.smt2,sat,353.22
ai-instances/random-mixed/mixed_22.smt2,sat,159.10
ai-instances/random-mixed/mixed_29.smt2,sat,337.44
ai-instances/random-mixed/mixed_18.smt2,unsat,0.51
ai-instances/random-mixed/mixed_06.smt2,timeout,600
ai-instances/random-mixed/mixed_11.smt2,sat,382.32
ai-instances/random-mixed/mixed_09.smt2,timeout,600
ai-instances/random-mixed/mixed_20.smt2,sat,401.74
ai-instances/random-mixed/mixed_23.smt2,unsat,2.54
ai-instances/random-mixed/mixed_08.smt2,unsat,1.02
ai-instances/random-mixed/mixed_13.smt2,sat,334.75
ai-instances/random-mixed/mixed_12.smt2,sat,92.62
ai-instances/random-mixed/mixed_07.smt2,sat,330.14
ai-instances/random-mixed/mixed_02.smt2,sat,211.64
ai-instances/random-mixed/mixed_19.smt2,timeout,600
ai-instances/random-mixed/mixed_16.smt2,sat,66.67
ai-instances/random-mixed/mixed_25.smt2,unsat,1.89
ai-instances/random-mixed/mixed_15.smt2,sat,304.19
ai-instances/random-mixed/mixed_04.smt2,sat,54.77
ai-instances/random-mixed/mixed_17.smt2,sat,37.26
ai-instances/random-mixed/mixed_24.smt2,unsat,8.52
ai-instances/random-mixed/mixed_14.smt2,unsat,12.17
ai-instances/random-mixed/mixed_30.smt2,unsat,1.27
ai-instances/random-mixed/mixed_26.smt2,unsat,5.40
ai-instances/random-mixed/mixed_28.smt2,sat,2.61
ai-instances/random-mixed/mixed_10.smt2,sat,77.00
ai-instances/random-mixed/mixed_03.smt2,timeout,600
