instance,output,time
ai-instances/modular/modular_22.smt2,unsat,301.77
ai-instances/modular/modular_16.smt2,unsat,89.28
ai-instances/modular/modular_29.smt2,unsat,3.16
ai-instances/modular/modular_07.smt2,unsat,2.39
ai-instances/modular/modular_10.smt2,unsat,8.75
ai-instances/modular/modular_13.smt2,unsat,15.34
ai-instances/modular/modular_24.smt2,unsat,307.71
ai-instances/modular/modular_21.smt2,unsat,209.93
ai-instances/modular/modular_20.smt2,unsat,124.58
ai-instances/modular/modular_14.smt2,unsat,20.71
ai-instances/modular/modular_12.smt2,unsat,1.20
ai-instances/modular/modular_01.smt2,unsat,0.23
ai-instances/modular/modular_08.smt2,unsat,12.83
ai-instances/modular/modular_11.smt2,unsat,13.52
ai-instances/modular/modular_28.smt2,sat,2.19
ai-instances/modular/modular_06.smt2,sat,5.34
ai-instances/modular/modular_17.smt2,unsat,130.67
ai-instances/modular/modular_18.smt2,unsat,202.21
ai-instances/modular/modular_26.smt2,unsat,3.95
ai-instances/modular/modular_30.smt2,unsat,2.94
ai-instances/modular/modular_27.smt2,unsat,4.29
ai-instances/modular/modular_03.smt2,sat,3.96
ai-instances/modular/modular_02.smt2,unsat,2.83
ai-instances/modular/modular_19.smt2,unsat,225.00
ai-instances/modular/modular_25.smt2,sat,1.67
ai-instances/modular/modular_05.smt2,sat,4.01
ai-instances/modular/modular_04.smt2,sat,0.64
ai-instances/modular/modular_23.smt2,unsat,2.15
ai-instances/modular/modular_09.smt2,unsat,44.25
ai-instances/modular/modular_15.smt2,unsat,58.83
