instance,output,time
ai-instances/modular/modular_30.smt2,sat,0.39
ai-instances/modular/modular_14.smt2,unsat,10.46
ai-instances/modular/modular_20.smt2,unsat,47.70
ai-instances/modular/modular_12.smt2,unsat,1.29
ai-instances/modular/modular_13.smt2,unsat,8.64
ai-instances/modular/modular_04.smt2,sat,0.29
ai-instances/modular/modular_18.smt2,unsat,108.66
ai-instances/modular/modular_16.smt2,unsat,42.17
ai-instances/modular/modular_22.smt2,unsat,241.75
ai-instances/modular/modular_23.smt2,unsat,1.80
ai-instances/modular/modular_09.smt2,unsat,29.57
ai-instances/modular/modular_10.smt2,unsat,5.00
ai-instances/modular/modular_07.smt2,unsat,2.15
ai-instances/modular/modular_15.smt2,unsat,24.29
ai-instances/modular/modular_03.smt2,sat,4.02
ai-instances/modular/modular_02.smt2,sat,0.38
ai-instances/modular/modular_08.smt2,unsat,7.94
ai-instances/modular/modular_24.smt2,unsat,79.13
ai-instances/modular/modular_21.smt2,unsat,160.68
ai-instances/modular/modular_19.smt2,unsat,108.54
ai-instances/modular/modular_17.smt2,unsat,70.29
ai-instances/modular/modular_25.smt2,sat,0.23
ai-instances/modular/modular_26.smt2,unsat,2.68
ai-instances/modular/modular_05.smt2,sat,4.80
ai-instances/modular/modular_27.smt2,unsat,2.53
ai-instances/modular/modular_11.smt2,unsat,8.18
ai-instances/modular/modular_28.smt2,sat,0.88
ai-instances/modular/modular_06.smt2,sat,1.52
ai-instances/modular/modular_29.smt2,sat,0.74
ai-instances/modular/modular_01.smt2,unsat,0.25
