instance,output,time
ai-instances/random/random_17.smt2,unsat,2.15
ai-instances/random/random_16.smt2,sat,0.46
ai-instances/random/random_12.smt2,sat,42.33
ai-instances/random/random_18.smt2,sat,398.37
ai-instances/random/random_24.smt2,sat,0.73
ai-instances/random/random_21.smt2,sat,79.59
ai-instances/random/random_07.smt2,sat,2.78
ai-instances/random/random_09.smt2,sat,31.51
ai-instances/random/random_23.smt2,sat,0.61
ai-instances/random/random_01.smt2,unsat,0.03
ai-instances/random/random_22.smt2,unsat,0.17
ai-instances/random/random_13.smt2,sat,88.19
ai-instances/random/random_05.smt2,unsat,6.61
ai-instances/random/random_26.smt2,sat,0.24
ai-instances/random/random_06.smt2,unsat,6.35
ai-instances/random/random_30.smt2,sat,2.99
ai-instances/random/random_02.smt2,sat,0.41
ai-instances/random/random_27.smt2,sat,0.40
ai-instances/random/random_20.smt2,sat,0.63
ai-instances/random/random_11.smt2,sat,25.98
ai-instances/random/random_10.smt2,sat,0.27
ai-instances/random/random_28.smt2,sat,0.27
ai-instances/random/random_14.smt2,sat,83.62
ai-instances/random/random_19.smt2,unsat,1.87
ai-instances/random/random_15.smt2,sat,13.22
ai-instances/random/random_03.smt2,sat,9.09
ai-instances/random/random_25.smt2,unsat,2.16
ai-instances/random/random_04.smt2,sat,2.18
ai-instances/random/random_29.smt2,sat,0.91
ai-instances/random/random_08.smt2,sat,18.95
